"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-05","0.00","T,,W,2400","29",",,W","6",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-06","0.00","T,,W,2400","26",",,W","16",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-07","0.00","T,,W,2400","34",",,W","16",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-08","0.00",",,W,2400","48",",,W","19",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-09","0.00",",,W,2400","57",",,W","28",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-10","0.03",",,W,2400","28",",,W","22",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-11","0.00","T,,W,2400","26",",,W","19",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-12","0.00",",,W,2400","38",",,W","15",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-13","0.00",",,W,2400","47",",,W","21",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-14","0.13",",,W,2400","66",",,W","40",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-15","0.26",",,W,2400","80",",,W","48",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-16","0.00","T,,W,2400","48",",,W","30",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-17","0.10",",,W,2400","43",",,W","28",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-18","0.00",",,W,2400","53",",,W","27",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-19","0.89",",,W,2400","68",",,W","51",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-20","1.04",",,W,2400","69",",,W","33",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-21","0.29",",,W,2400","34",",,W","27",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-22","0.26",",,W,2400","45",",,W","32",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-23","0.31",",,W,2400","50",",,W","40",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-24","1.73",",,W,2400","55",",,W","39",",,W",,,"    1",",,W",,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-25","0.00",",,W,2400","53",",,W","34",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-26","0.00",",,W,2400","62",",,W","32",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-27","0.00","T,,W,2400","69",",,W","44",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-02-28","0.20",",,W,2400","58",",,W","51",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-01","0.27",",,W,2400","57",",,W","37",",,W","    1",",,W",,,"    1",",,W",,,,,"    1",",,W"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-02","0.00",",,W,2400","53",",,W","31",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-03","0.00",",,W,2400","57",",,W","33",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-04","0.00",",,W,2400","60",",,W","34",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-05","0.62",",,W,2400","50",",,W","34",",,W","    1",",,W",,,"    1",",,W",,,,,,
